,dataset_id,effect,num_students,algorithm_name,avg_reward,power,FPR,prop_opt,prop_sup,arm_1_mean_mean,arm_2_mean_mean,superior_arm_mean_mean,inferior_arm_mean_mean,more_sample_arm_mean_mean,less_sample_arm_mean_mean,avg_reward_se,power_se,FPR_se,prop_opt_se,prop_sup_se,arm_1_mean_se,arm_2_mean_se,superior_arm_mean_se,inferior_arm_mean_se
82,250476,0,169,ts,18.0293136095,,0.058,,0.6757218935,17.5338722429,17.6246453696,18.3770522992,16.7814653132,18.274679856730756,16.88383775572652,0.6402037607,,0.0073916169,,0.1669121789,1.4548037837,1.4540311224,0.6627710792,1.5882588
8,250476,0,169,exp3,18.0217218935,,0.038,,0.5200236686,18.0321726243,17.9682536136,18.3471294597,17.6532967782,18.081849217011282,17.921932050480155,0.4707022585,,0.0060461558,,0.0936996857,0.6297934273,0.6757469646,0.5338634236,0.5741119152
30,250476,0,169,exp31,18.0377130178,,0.051,,0.5069378698,18.0252905544,18.0335643147,18.393572818,17.6652820512,18.086574031727075,17.967405097805017,0.4496043858,,0.006956939,,0.0509589062,0.6478602599,0.6347133215,0.5131956673,0.5422588228
83,250476,0,169,exp3++,18.0538816568,,0.061,,0.5203254438,18.038693635,17.9997625602,18.5519027548,17.4865534405,18.35536024805639,17.68309594719353,0.653182473,,0.0075682891,,0.0335209973,0.9361351858,0.9449496388,0.7219783917,0.8254085906
53,255116,0,534,uniform,13.3050243446,,0.047,,0.4988501873,13.2989283182,13.3127103563,13.6107919566,13.0008467179,13.284266587132699,13.327046244645622,0.4029979312,,0.0066926079,,0.0209273332,0.5496213191,0.5604881159,0.4647227355,0.4629704922
84,255116,0,534,ts,13.293747191,,0.083,,0.6838052434,12.8924651959,12.9789518368,13.4995821789,12.3718348538,13.440034386754927,12.432019350001447,0.3992068301,,0.0087241619,,0.1816985421,1.2207614485,1.0233343458,0.4175782549,1.3156492896
9,255116,0,534,exp3,13.3024073034,,0.063,,0.5438548689,13.2521790314,13.2777560608,13.5072969358,13.0226381564,13.386642704013115,13.143839204758937,0.2692219106,,0.0076831634,,0.1159551501,0.4132813332,0.4215537954,0.3198412185,0.3592919199
31,255116,0,534,exp31,13.2833586142,,0.049,,0.5100664794,13.2700673554,13.2813407018,13.4936704602,13.057737597,13.337211519542052,13.21664035784167,0.2648197981,,0.006826346,,0.047258262,0.3962012695,0.3721353811,0.3111896016,0.3219721001
85,255116,0,534,exp3++,13.2952640449,,0.049,,0.5197827715,13.2586446751,13.2933225513,13.5806393234,12.971327903,13.410147497321882,13.139729841433931,0.3825006864,,0.006826346,,0.0519701859,0.5436738742,0.5408010232,0.4267705918,0.4699840042
54,256017,0,232,uniform,16.6294137931,,0.048,,0.5004267241,16.65607126,16.6040486123,17.0726424544,16.1874774179,16.63331725101159,16.62567331095872,0.6119899084,,0.0067598817,,0.0322583163,0.8061976236,0.8425218823,0.6822255366,0.7099018627
86,256017,0,232,ts,16.6463922414,,0.083,,0.6905172414,16.1292944841,16.1606960256,16.9612278975,15.3287626122,16.884865660840333,15.401762779883315,0.5691893765,,0.0087241619,,0.1710873545,1.5435596069,1.5544800363,0.5881758394,1.7666508426
10,256017,0,232,exp3,16.5903599138,,0.037,,0.5324224138,16.5463991348,16.5610331743,16.8959787931,16.211453516,16.69557195009297,16.40830863488424,0.4124241998,,0.0059691708,,0.1011219681,0.5875455715,0.6209853638,0.4602105799,0.5337213626
32,256017,0,232,exp31,16.5736357759,,0.045,,0.5088728448,16.5960956327,16.5340742803,16.8874996173,16.2426702956,16.632427678612615,16.501147406734933,0.4107727475,,0.006555532,,0.05210275,0.5783656758,0.5738614585,0.4600925128,0.4961447421
87,256017,0,232,exp3++,16.5928491379,,0.052,,0.5227112069,16.5695007497,16.549529721,17.0274558783,16.0915745924,16.855220352144766,16.27056011856567,0.5800913301,,0.007021111,,0.0369637237,0.8329455581,0.839499066,0.6447614322,0.7383103753
55,256027,0,164,uniform,17.9509085366,,0.052,,0.5008719512,17.9088557331,17.9913627508,18.4947080498,17.4055104341,17.967081320529974,17.91821033410397,0.6668893379,,0.007021111,,0.0393170008,0.9469212475,0.9714828155,0.7562224811,0.8238897073
88,256027,0,164,ts,17.9230609756,,0.079,,0.6746219512,17.4069224923,17.3971132111,18.2918990768,16.5121366267,18.192910046391837,16.61216224239944,0.6487273061,,0.0085298886,,0.1714754007,1.7064481542,1.7898224713,0.6639725963,2.0225827782
11,256027,0,164,exp3,17.9243689024,,0.054,,0.5209115854,17.8742013542,17.9195447949,18.2971369351,17.496609214,18.008381441510483,17.78408421974535,0.4815462427,,0.0071473072,,0.0985979154,0.69668175,0.7017358397,0.5332199074,0.611621515
33,256027,0,164,exp31,17.9508170732,,0.052,,0.5044329268,17.9637248001,17.9256594945,18.33384505,17.5555392446,17.963322536668336,17.915104440783967,0.5014468264,,0.007021111,,0.0531231855,0.7174002928,0.6818538048,0.5655700718,0.5979655554
89,256027,0,164,exp3++,17.9259634146,,0.051,,0.5201402439,17.8721999266,17.906138594,18.4416587342,17.3366797864,18.25170520532946,17.52641380306124,0.6811022511,,0.006956939,,0.0341981266,0.9553577425,1.0044444529,0.7729896456,0.8450980783
56,259379,0,329,uniform,7.8041276596,,0.055,,0.4998693009,7.7898246852,7.8183738389,8.2230600986,7.3851384255,7.80722286191046,7.8009756622084625,0.5062525752,,0.0072093689,,0.0280740105,0.7280945602,0.7213151647,0.5933306843,0.5896839123
90,259379,0,329,ts,7.815218845,,0.122,,0.6817629179,7.3780415944,7.4018123977,8.0731035262,6.7067504659,8.013937532667747,6.765916459418222,0.5068571667,,0.010349686,,0.1746066086,1.2650651804,1.3023588649,0.5341551411,1.4415370241
12,259379,0,329,exp3,7.7892720365,,0.05,,0.5352386018,7.7513949788,7.7628494297,8.041971954,7.4722724545,7.915448676909902,7.597294211821581,0.3476780531,,0.0068920244,,0.0723934065,0.5093918983,0.4964929182,0.3913086432,0.4366345291
